gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,1,Yes,Yes,28,Yes,Yes,DSL,No,No internet service,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),77.02,816.13,1
Male,0,No,Yes,1,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,72.29,7255.75,0
Female,0,No,No,46,Yes,No,DSL,No,No,No,No internet service,No,Yes,Two year,Yes,Electronic check,18.8,6646.68,0
Female,1,Yes,No,34,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,No internet service,No,Month-to-month,Yes,Electronic check,18.8,2285.17,1
Female,1,No,No,55,Yes,No phone service,DSL,Yes,Yes,No internet service,No,Yes,No,Two year,Yes,Bank transfer (automatic),59.82,1751.51,0
Male,0,Yes,No,7,Yes,No,No,Yes,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,18.8,1159.32,0
Female,0,Yes,No,8,Yes,Yes,Fiber optic,No,No,No internet service,Yes,No,No internet service,Month-to-month,Yes,Electronic check,98.8,19.4,0
Female,0,Yes,No,7,Yes,No phone service,DSL,Yes,No,No internet service,No,Yes,Yes,One year,No,Electronic check,49.37,5040.44,1
Female,0,No,No,28,Yes,No,No,No,No internet service,Yes,No internet service,No,No,One year,Yes,Electronic check,80.83,8468.2,0
Male,1,Yes,No,71,Yes,No phone service,DSL,No internet service,Yes,No internet service,No,No,No,Month-to-month,Yes,Electronic check,65.47,3106.56,0
Male,0,Yes,Yes,72,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Mailed check,54.21,3725.23,0
Male,0,No,No,16,Yes,Yes,No,No,No internet service,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),52.8,4795.83,0
Female,1,Yes,No,36,Yes,No,No,No,Yes,No internet service,No,Yes,No,One year,Yes,Credit card (automatic),26.33,4237.3,0
Female,0,Yes,No,50,Yes,No,DSL,No,Yes,No,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),74.07,1026.11,0
Male,0,Yes,No,12,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No,No,Two year,Yes,Mailed check,54.66,734.33,0
Female,0,Yes,No,72,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),78.73,1312.59,1
Female,0,Yes,No,53,Yes,No,No,No internet service,Yes,No internet service,Yes,No,No,Month-to-month,No,Electronic check,23.55,55.05,0
Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Credit card (automatic),66.28,8468.2,0
Male,0,No,No,34,Yes,No phone service,DSL,No,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,88.64,1945.88,0
Female,1,Yes,No,1,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),56.21,7597.52,0
Male,0,No,Yes,10,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,Yes,No internet service,Two year,Yes,Electronic check,37.34,5671.55,0
Male,1,No,No,25,Yes,No,DSL,Yes,No internet service,Yes,No,No,No,Month-to-month,No,Credit card (automatic),97.76,3626.0,0
Female,0,Yes,No,47,No,Yes,DSL,No,No,Yes,Yes,No,No internet service,Month-to-month,No,Mailed check,85.6,508.8,0
Male,0,No,Yes,34,Yes,No,DSL,No internet service,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,18.8,3257.28,0
Female,0,No,Yes,1,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),24.23,7658.64,0
Male,0,Yes,No,23,Yes,No,No,Yes,No,No,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),59.82,1605.2,0
Female,1,Yes,No,66,Yes,Yes,DSL,No,No,No internet service,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),58.39,1057.03,0
Male,1,No,Yes,58,Yes,Yes,DSL,No internet service,Yes,No,Yes,No internet service,No,Month-to-month,Yes,Electronic check,57.91,1424.51,0
Male,1,No,No,52,Yes,No,DSL,No internet service,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),70.1,5224.31,0
Female,0,No,No,21,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Electronic check,68.52,3888.56,0
Female,1,Yes,Yes,6,Yes,No,Fiber optic,No,No,No,Yes,No,No internet service,Two year,Yes,Electronic check,73.53,5703.93,0
Female,0,No,No,65,Yes,No,DSL,No internet service,No,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,101.86,8468.2,0
Male,0,No,Yes,39,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),30.26,8468.2,1
Female,0,Yes,Yes,35,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,61.04,8468.2,1
Female,0,No,Yes,19,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Mailed check,81.3,337.44,0
Female,0,Yes,No,11,Yes,No,DSL,Yes,Yes,No internet service,Yes,Yes,Yes,One year,No,Electronic check,59.88,127.16,1
Female,0,Yes,No,37,Yes,No,Fiber optic,No,No internet service,No,No,Yes,No internet service,One year,No,Mailed check,72.4,6296.94,0
Male,0,No,Yes,64,No,No,DSL,No,No,No,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,82.01,8468.2,0
Female,0,No,Yes,39,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Mailed check,65.75,1941.04,1
Male,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),57.38,1266.32,0
Male,0,No,No,1,No,Yes,Fiber optic,No internet service,Yes,No,No,Yes,No,Two year,No,Electronic check,102.17,1551.99,1
Female,0,Yes,No,62,Yes,Yes,No,Yes,No internet service,No,No,Yes,No,Month-to-month,Yes,Mailed check,97.2,3933.0,0
Female,0,No,No,6,Yes,Yes,No,No,Yes,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,117.2,3708.53,1
Female,0,No,No,1,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,58.56,4728.74,0
Female,0,No,No,53,Yes,No,Fiber optic,No internet service,No,Yes,No,Yes,No internet service,Two year,No,Mailed check,40.86,2315.6,1
Male,1,Yes,Yes,26,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),48.84,8468.2,0
Male,1,No,No,56,Yes,Yes,DSL,No,No internet service,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),64.35,8468.2,1
Female,0,No,No,37,Yes,No,DSL,No internet service,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,22.18,1948.12,0
Female,0,Yes,No,39,Yes,No phone service,Fiber optic,Yes,No,No,No,No,No internet service,Two year,Yes,Electronic check,62.38,3148.72,0
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No internet service,No,Yes,Yes,Two year,No,Bank transfer (automatic),117.2,8449.04,1
Female,1,No,No,60,Yes,Yes,No,No,No,No,No,No internet service,Yes,Month-to-month,No,Electronic check,39.92,3906.14,1
Male,0,Yes,No,1,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),70.24,2269.77,0
Female,1,No,No,52,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),61.58,19.4,0
Male,0,No,No,1,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),53.01,8468.2,0
Male,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,62.55,1218.73,0
Male,0,No,No,57,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),103.9,1739.32,0
Female,1,No,Yes,44,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,No internet service,Two year,Yes,Mailed check,71.48,8468.2,0
Female,0,Yes,No,1,Yes,No phone service,Fiber optic,No internet service,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),39.97,217.11,0
Female,0,No,No,1,Yes,No,No,Yes,Yes,No internet service,No,Yes,Yes,Two year,No,Bank transfer (automatic),59.83,1826.68,0
Female,0,No,Yes,31,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No internet service,One year,No,Electronic check,91.75,1304.16,0
Male,1,No,No,49,Yes,Yes,No,No internet service,Yes,No internet service,No,No,No internet service,Two year,No,Bank transfer (automatic),39.51,1662.68,0
Female,0,No,No,20,Yes,No phone service,DSL,No,No,Yes,No internet service,No,No,Two year,No,Electronic check,36.32,1887.8,0
Female,1,Yes,Yes,1,Yes,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,110.19,3029.7,1
Female,1,No,No,1,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),34.22,1856.53,0
Female,0,No,Yes,68,No,No phone service,Fiber optic,Yes,No,No internet service,No,No,No,Month-to-month,No,Electronic check,91.41,8468.2,0
Male,1,No,No,41,No,No,No,No,Yes,No,No,Yes,No internet service,Two year,Yes,Electronic check,71.93,115.28,1
Male,0,Yes,Yes,14,Yes,Yes,DSL,No,No,No internet service,Yes,Yes,Yes,Two year,No,Credit card (automatic),68.43,975.13,1
Male,0,No,Yes,43,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,No,Yes,Two year,Yes,Credit card (automatic),117.2,1077.79,0
Male,1,Yes,No,26,Yes,Yes,No,No internet service,No,No,No,No,No internet service,Month-to-month,No,Electronic check,18.89,4623.59,0
Male,0,No,No,1,Yes,Yes,Fiber optic,Yes,No internet service,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),56.12,4365.63,0
Female,0,No,No,1,Yes,No,DSL,No,No,No internet service,Yes,No,No internet service,Month-to-month,No,Mailed check,80.63,1790.68,0
Male,0,No,Yes,4,Yes,Yes,DSL,No,No,No,No internet service,Yes,No internet service,One year,Yes,Mailed check,30.13,2010.76,1
Female,0,Yes,No,42,Yes,Yes,No,Yes,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,36.73,1913.37,1
Female,0,No,Yes,14,Yes,No,No,No,No,No,No,No,Yes,One year,Yes,Electronic check,29.05,1255.26,0
Female,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),116.39,1669.58,0
Male,0,Yes,No,3,No,No,No,No,Yes,Yes,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),57.51,2015.29,0
Female,0,Yes,Yes,1,No,No,DSL,No,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,55.4,19.4,1
Male,0,Yes,No,1,Yes,No,No,No internet service,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.04,19.4,0
Female,1,No,No,52,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),26.06,1231.13,1
Male,0,No,No,15,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,44.62,1673.49,0
Female,0,Yes,No,4,Yes,No,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,No,Credit card (automatic),36.19,19.4,0
Male,1,Yes,No,26,Yes,No,No,No,Yes,No,No,No,No internet service,One year,Yes,Electronic check,79.48,7189.17,1
Female,0,Yes,Yes,45,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,No,No internet service,One year,No,Bank transfer (automatic),55.37,7754.42,0
Female,0,No,Yes,1,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,26.4,2889.69,0
Female,0,No,No,5,Yes,Yes,No,No,No,No,No,No internet service,Yes,Two year,No,Electronic check,18.8,65.54,1
Female,0,Yes,No,5,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,92.07,8468.2,1
Female,0,Yes,No,2,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,Yes,Yes,One year,No,Mailed check,73.24,303.61,1
Female,0,Yes,No,17,Yes,Yes,DSL,No,No,No internet service,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.79,6067.0,0
Male,0,No,No,1,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,Yes,No,Two year,Yes,Credit card (automatic),39.04,600.64,0
Female,1,No,Yes,60,No,Yes,Fiber optic,No,Yes,No,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),37.65,1303.31,0
Male,1,No,Yes,9,Yes,No,Fiber optic,No,Yes,No,No internet service,Yes,No internet service,One year,Yes,Electronic check,18.86,4642.05,0
Female,0,Yes,Yes,1,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),37.4,473.95,1
Female,0,No,No,58,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No,No,Two year,Yes,Bank transfer (automatic),65.21,1935.46,0
Female,0,Yes,No,41,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.8,5664.52,0
Female,0,No,No,1,Yes,No,No,Yes,Yes,Yes,No internet service,Yes,Yes,Two year,Yes,Electronic check,77.44,6916.03,0
Female,1,No,No,34,Yes,No,DSL,No,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.56,8468.2,1
Female,0,Yes,No,22,Yes,No,No,Yes,No internet service,No,No internet service,No,No,One year,No,Credit card (automatic),64.28,1623.79,0
Male,1,No,No,1,Yes,Yes,No,No,No,No,No,Yes,No internet service,Two year,No,Credit card (automatic),49.23,2379.65,1
Male,1,Yes,Yes,8,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),60.55,5784.85,0
Male,0,Yes,Yes,61,No,No,DSL,No,No,No internet service,No,Yes,No,Two year,Yes,Bank transfer (automatic),27.04,1440.54,1
Female,0,No,No,3,Yes,Yes,DSL,Yes,Yes,Yes,No,No internet service,No internet service,Two year,No,Credit card (automatic),72.7,7106.66,0
Female,0,No,Yes,1,Yes,Yes,No,No,No internet service,Yes,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),59.46,1542.36,0
Female,1,No,No,57,Yes,Yes,Fiber optic,Yes,No,No,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),61.56,970.39,0
Female,1,Yes,No,72,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,23.2,411.59,0
Female,1,Yes,No,16,Yes,Yes,DSL,No,No internet service,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,18.8,1085.91,0
Male,0,Yes,No,48,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,No,No internet service,One year,No,Electronic check,28.88,675.52,0
Female,1,Yes,No,9,Yes,Yes,DSL,Yes,No,No internet service,No,Yes,Yes,Two year,No,Credit card (automatic),33.04,1183.58,0
Male,0,Yes,No,67,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,No,No,Month-to-month,No,Electronic check,22.6,3960.43,1
Female,0,No,No,10,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,Yes,No,Month-to-month,No,Credit card (automatic),20.52,6521.4,0
Male,0,Yes,Yes,72,Yes,No,No,No,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),38.88,4569.02,1
Female,0,Yes,No,35,Yes,No,Fiber optic,No,No,No internet service,No,No,No internet service,One year,Yes,Bank transfer (automatic),70.93,8005.39,0
Female,1,No,Yes,27,Yes,No,Fiber optic,No internet service,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,88.77,2379.62,0
Female,0,No,No,1,No,Yes,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Electronic check,51.26,3765.15,0
Female,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),63.51,6931.72,0
Male,0,No,No,8,Yes,No,Fiber optic,No internet service,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),68.81,3297.64,0
Female,0,Yes,Yes,4,No,No,Fiber optic,No,No internet service,No,No,Yes,Yes,Month-to-month,No,Electronic check,116.91,2891.89,0
Male,0,Yes,No,37,Yes,No,No,Yes,No,No internet service,No,No,No internet service,Month-to-month,No,Mailed check,61.13,1752.65,0
Female,0,Yes,No,72,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,No,No,Two year,No,Mailed check,38.74,8468.2,1
Male,0,No,No,19,Yes,No,Fiber optic,No,No internet service,No,Yes,No,Yes,Month-to-month,No,Electronic check,46.83,7450.37,0
Female,0,No,No,15,Yes,No,DSL,No,No,No,No,No,No internet service,Month-to-month,No,Mailed check,100.09,1234.92,0
Male,0,Yes,Yes,26,No,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Electronic check,44.61,8468.2,0
Female,1,No,Yes,43,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),67.03,8468.2,0
Male,0,Yes,Yes,1,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No,No,Month-to-month,Yes,Mailed check,56.56,1121.41,1
Female,0,No,No,3,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Mailed check,29.48,5207.94,0
Female,0,No,Yes,11,Yes,No phone service,DSL,No,No internet service,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),29.48,5536.95,1
Male,0,No,No,1,Yes,No,DSL,Yes,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,No,Mailed check,81.58,8468.2,1
Female,0,Yes,Yes,51,Yes,Yes,DSL,No internet service,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),97.42,1236.86,0
Female,0,Yes,Yes,10,Yes,Yes,No,No,No,No,Yes,No internet service,No internet service,Two year,No,Mailed check,91.18,8468.2,0
Male,0,No,No,54,Yes,No,DSL,No internet service,No,No,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),18.8,239.42,0
Male,0,No,No,1,Yes,Yes,DSL,No,No,No,No internet service,No,Yes,One year,No,Credit card (automatic),18.8,4450.1,0
Male,0,Yes,No,34,Yes,Yes,Fiber optic,No internet service,No,No,No,Yes,No,One year,No,Credit card (automatic),36.93,6279.07,1
Male,0,Yes,No,8,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),39.39,1216.75,0
Male,0,No,Yes,53,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No,Yes,No internet service,Month-to-month,No,Electronic check,110.79,1017.74,0
Female,0,Yes,No,1,Yes,No,Fiber optic,No internet service,No,No internet service,No,No,No internet service,Month-to-month,No,Credit card (automatic),71.75,5695.49,1
Female,0,Yes,No,52,No,Yes,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,Yes,Electronic check,87.91,1826.24,0
Male,0,No,Yes,22,Yes,No,DSL,Yes,Yes,No,No internet service,No internet service,No,One year,Yes,Bank transfer (automatic),18.8,558.83,0
Female,0,No,No,55,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,No,Month-to-month,No,Electronic check,23.82,5211.84,1
Female,0,No,Yes,1,Yes,Yes,DSL,No internet service,No,No,No internet service,No,No,Month-to-month,No,Electronic check,80.06,1664.64,0
Male,0,No,No,65,Yes,Yes,No,Yes,Yes,No,No internet service,No,No,Two year,Yes,Bank transfer (automatic),53.22,8468.2,0
Female,1,Yes,No,11,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,No,Mailed check,22.05,8468.2,1
Female,0,No,No,39,Yes,No,No,No,Yes,Yes,Yes,No,No internet service,One year,No,Bank transfer (automatic),72.48,1695.2,1
Female,0,Yes,Yes,41,No,Yes,Fiber optic,No,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),85.69,8468.2,0
Female,0,No,Yes,1,No,No phone service,Fiber optic,No,No internet service,No,No,No internet service,Yes,Two year,Yes,Electronic check,114.7,5572.69,0
Female,0,Yes,No,4,No,No,DSL,No,No,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,37.55,8259.66,0
Female,0,Yes,No,56,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,58.17,19.4,0
Female,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,45.97,2005.0,0
Female,0,No,Yes,15,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,Yes,Two year,No,Credit card (automatic),18.8,8468.2,1
Male,0,No,No,56,No,Yes,DSL,No,No internet service,No internet service,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),60.99,5466.7,0
Female,0,No,No,1,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,18.8,1646.15,0
Male,0,Yes,Yes,1,Yes,No,DSL,Yes,No,No internet service,Yes,Yes,No,Month-to-month,No,Credit card (automatic),43.52,1875.75,0
Female,0,Yes,No,72,Yes,No,No,No,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,63.74,3398.98,0
Male,1,Yes,No,44,Yes,No,DSL,No,No internet service,No,Yes,No,No internet service,Two year,No,Credit card (automatic),98.28,4101.87,0
Female,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),18.8,2234.59,1
Female,0,Yes,No,2,Yes,No,Fiber optic,Yes,No internet service,No,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),81.57,1949.54,0
Female,1,Yes,Yes,61,Yes,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),101.67,5915.93,1
Female,0,Yes,No,41,Yes,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,85.69,4085.77,0
Male,0,No,No,11,Yes,No,DSL,Yes,No,No,No,Yes,No internet service,Two year,Yes,Mailed check,31.8,732.18,0
Male,0,No,No,1,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,25.69,8468.2,1
Female,0,Yes,Yes,1,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,110.94,522.5,1
Female,0,Yes,Yes,1,No,Yes,Fiber optic,No internet service,Yes,No,No internet service,Yes,No,Month-to-month,No,Electronic check,52.82,6935.01,0
Female,0,Yes,No,1,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No,No internet service,Two year,Yes,Electronic check,78.75,8468.2,0
Female,0,Yes,No,22,Yes,No phone service,DSL,No,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),44.92,1300.08,0
Female,0,No,Yes,65,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),63.15,2161.25,1
Female,0,Yes,Yes,34,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),85.65,615.9,0
Female,0,Yes,Yes,45,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),21.01,4552.39,0
Female,1,Yes,Yes,17,Yes,No phone service,DSL,No internet service,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),33.36,1633.33,0
Female,0,Yes,No,16,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,56.94,4827.55,0
Female,0,No,No,14,Yes,Yes,Fiber optic,No,No,No,No,Yes,No internet service,One year,Yes,Mailed check,36.7,593.06,1
Male,1,Yes,Yes,25,Yes,No,DSL,Yes,Yes,Yes,No,No,No internet service,One year,Yes,Credit card (automatic),87.23,1792.2,0
Female,0,Yes,Yes,8,Yes,Yes,DSL,No,No,No internet service,Yes,No,No internet service,Month-to-month,Yes,Mailed check,18.8,7913.41,0
Female,0,Yes,No,72,No,Yes,DSL,No,No,No internet service,No,No,No internet service,One year,No,Credit card (automatic),18.8,6878.34,1
Female,0,Yes,No,1,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,83.45,8468.2,0
Female,1,No,No,41,Yes,Yes,DSL,No,No internet service,No,No,No,Yes,Two year,No,Mailed check,36.75,3933.01,0
Female,1,Yes,No,7,Yes,Yes,DSL,No,Yes,Yes,No internet service,No internet service,No internet service,One year,No,Mailed check,64.57,1806.19,1
Male,0,Yes,No,52,Yes,No,No,Yes,No,No,No,Yes,No internet service,One year,Yes,Mailed check,67.31,8406.75,0
Female,0,Yes,No,49,No,No,Fiber optic,Yes,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,18.8,2165.11,1
Male,0,No,Yes,72,Yes,Yes,No,No,No,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),18.8,1159.4,0
